Name,Team,Goals ,Points,Total,Frees,50s,Mark_Score,Yellows,Reds,Black,Game
Oisin McLoughlin,Fenagh,1,2,5,,,,,,1,1
Riordan O Rourke,Fenagh,1,2,5,,,,,,,1
Ryan O Rourke,Fenagh,,3,3,,,,,,,1
Jack Gilheaney,Fenagh,,2,2,,,,,,,1
Donal Wynn,Fenagh,,1,1,,,,,,,1
Eoin Mc Loughlin,Fenagh,,1,1,,,,,,,1
Michael Doonan,Fenagh,,1,1,,,,,,,1
Alan Doherty ,St. Marys,2,6,12,4,,,,,1,1
Ray Mulvey ,St. Marys,,1,1,,,,,,,1
Paul Keaney,St. Marys,,1,1,,,,,,,1
Diarmuid Kelleher,St. Marys,,1,1,,,,,,,1
Eunan Treacy,Leitrim Geals,,5,5,,,,,,,1
Stephan Goldrick,Leitrim Geals,,5,5,,,,,,,1
Aidan Flynn,Leitrim Geals,1,,3,,,,,,,1
David Regan,Leitrim Geals,,3,3,3,,,,,,1
Enda Moreton,Leitrim Geals,,1,1,,,,,,,1
David Bruen,Leitrim Geals,,1,1,,,,,,,1
Darragh Rooney,Melvin Geals,,3,3,2,,,,,,1
Peter Mac Gowan,Melvin Geals,1,,3,,,,,,,1
Emlyn Muligan,Melvin Geals,,2,2,,,,,,,1
Cillian McGloin,Melvin Geals,,1,1,,,,,,,1
Matthew Cleary,Melvin Geals,,1,1,,,,,,,1
Keith Beirne ,Mohil,,8,8,3,,2,,,,1
Domhnail Flynn,Mohil,,3,3,,,,,,,1
Keith Keegan ,Mohil,,2,2,,,,,,,1
Shane Quinn,Mohil,,1,1,,,,,,,1
Eamma Madden,Mohil,,1,1,,,,,,,1
Luke Murphy ,Ballinamore,,6,6,4,,,,,,1
Wayne McKeon ,Ballinamore,,6,6,6,,,,,,1
Tom Prior ,Ballinamore,,2,2,,,,,,,1
Dean McGovern ,Ballinamore,,1,1,,,,,,,1
Shane Moran ,Ballinamore,,1,1,,,,,,,1
